allocator,update%,ds,tracker,key_size,#threads,Numa,remote freeing (%)
mimalloc,100,guerraoui_ext_bst_ticket,debra,200000,192,False,15.39%
jemalloc,100,guerraoui_ext_bst_ticket,debra,200000,192,True,8.17%
mimalloc,100,guerraoui_ext_bst_ticket,debra_df,200000,192,False,10.33%
jemalloc,100,guerraoui_ext_bst_ticket,debra_df,200000,192,True,4.24%
mimalloc,100,guerraoui_ext_bst_ticket,2geibr,200000,192,False,7.48%
jemalloc,100,guerraoui_ext_bst_ticket,2geibr,200000,192,True,5.11%
mimalloc,100,guerraoui_ext_bst_ticket,2geibr_df,200000,192,False,7.57%
jemalloc,100,guerraoui_ext_bst_ticket,2geibr_df,200000,192,True,2.57%
mimalloc,100,guerraoui_ext_bst_ticket,he,200000,192,False,0.83%
jemalloc,100,guerraoui_ext_bst_ticket,he,200000,192,True,0.42%
mimalloc,100,guerraoui_ext_bst_ticket,he_df,200000,192,False,0.80%
jemalloc,100,guerraoui_ext_bst_ticket,he_df,200000,192,True,0.23%
mimalloc,100,guerraoui_ext_bst_ticket,ibr_hp,200000,192,False,0.48%
jemalloc,100,guerraoui_ext_bst_ticket,ibr_hp,200000,192,True,0.37%
mimalloc,100,guerraoui_ext_bst_ticket,ibr_hp_df,200000,192,False,0.73%
jemalloc,100,guerraoui_ext_bst_ticket,ibr_hp_df,200000,192,True,0.29%
mimalloc,100,guerraoui_ext_bst_ticket,ibr_rcu,200000,192,False,5.45%
jemalloc,100,guerraoui_ext_bst_ticket,ibr_rcu,200000,192,True,5.09%
mimalloc,100,guerraoui_ext_bst_ticket,ibr_rcu_df,200000,192,False,8.74%
jemalloc,100,guerraoui_ext_bst_ticket,ibr_rcu_df,200000,192,True,3.71%
mimalloc,100,guerraoui_ext_bst_ticket,nbr,200000,192,False,2.50%
jemalloc,100,guerraoui_ext_bst_ticket,nbr,200000,192,True,2.94%
mimalloc,100,guerraoui_ext_bst_ticket,nbr_df,200000,192,False,3.75%
jemalloc,100,guerraoui_ext_bst_ticket,nbr_df,200000,192,True,1.48%
mimalloc,100,guerraoui_ext_bst_ticket,nbrplus,200000,192,False,5.57%
jemalloc,100,guerraoui_ext_bst_ticket,nbrplus,200000,192,True,9.65%
mimalloc,100,guerraoui_ext_bst_ticket,nbrplus_df,200000,192,False,8.83%
jemalloc,100,guerraoui_ext_bst_ticket,nbrplus_df,200000,192,True,3.69%
mimalloc,100,guerraoui_ext_bst_ticket,qsbr,200000,192,False,5.27%
jemalloc,100,guerraoui_ext_bst_ticket,qsbr,200000,192,True,4.68%
mimalloc,100,guerraoui_ext_bst_ticket,qsbr_df,200000,192,False,8.99%
jemalloc,100,guerraoui_ext_bst_ticket,qsbr_df,200000,192,True,3.79%
mimalloc,100,guerraoui_ext_bst_ticket,token4,200000,192,False,9.22%
jemalloc,100,guerraoui_ext_bst_ticket,token4,200000,192,True,2.01%
mimalloc,100,guerraoui_ext_bst_ticket,wfe,200000,192,False,3.58%
jemalloc,100,guerraoui_ext_bst_ticket,wfe,200000,192,True,2.20%
mimalloc,100,guerraoui_ext_bst_ticket,wfe_df,200000,192,False,4.51%
jemalloc,100,guerraoui_ext_bst_ticket,wfe_df,200000,192,True,1.41%
mimalloc,100,brown_ext_abtree_lf,debra,200000,192,False,15.73%
jemalloc,100,brown_ext_abtree_lf,debra,200000,192,True,10.18%
mimalloc,100,brown_ext_abtree_lf,debra_df,200000,192,False,10.88%
jemalloc,100,brown_ext_abtree_lf,debra_df,200000,192,True,4.88%
mimalloc,100,brown_ext_abtree_lf,2geibr,200000,192,False,8.31%
jemalloc,100,brown_ext_abtree_lf,2geibr,200000,192,True,6.20%
mimalloc,100,brown_ext_abtree_lf,2geibr_df,200000,192,False,9.85%
jemalloc,100,brown_ext_abtree_lf,2geibr_df,200000,192,True,3.68%
mimalloc,100,brown_ext_abtree_lf,he,200000,192,False,0.93%
jemalloc,100,brown_ext_abtree_lf,he,200000,192,True,0.41%
mimalloc,100,brown_ext_abtree_lf,he_df,200000,192,False,1.15%
jemalloc,100,brown_ext_abtree_lf,he_df,200000,192,True,0.30%
mimalloc,100,brown_ext_abtree_lf,ibr_hp,200000,192,False,1.32%
jemalloc,100,brown_ext_abtree_lf,ibr_hp,200000,192,True,0.44%
mimalloc,100,brown_ext_abtree_lf,ibr_hp_df,200000,192,False,1.40%
jemalloc,100,brown_ext_abtree_lf,ibr_hp_df,200000,192,True,0.35%
mimalloc,100,brown_ext_abtree_lf,ibr_rcu,200000,192,False,6.49%
jemalloc,100,brown_ext_abtree_lf,ibr_rcu,200000,192,True,4.09%
mimalloc,100,brown_ext_abtree_lf,ibr_rcu_df,200000,192,False,9.98%
jemalloc,100,brown_ext_abtree_lf,ibr_rcu_df,200000,192,True,4.02%
mimalloc,100,brown_ext_abtree_lf,nbr,200000,192,False,2.58%
jemalloc,100,brown_ext_abtree_lf,nbr,200000,192,True,3.00%
mimalloc,100,brown_ext_abtree_lf,nbr_df,200000,192,False,4.37%
jemalloc,100,brown_ext_abtree_lf,nbr_df,200000,192,True,1.53%
mimalloc,100,brown_ext_abtree_lf,nbrplus,200000,192,False,6.71%
jemalloc,100,brown_ext_abtree_lf,nbrplus,200000,192,True,10.00%
mimalloc,100,brown_ext_abtree_lf,nbrplus_df,200000,192,False,10.16%
jemalloc,100,brown_ext_abtree_lf,nbrplus_df,200000,192,True,3.71%
mimalloc,100,brown_ext_abtree_lf,qsbr,200000,192,False,6.53%
jemalloc,100,brown_ext_abtree_lf,qsbr,200000,192,True,4.07%
mimalloc,100,brown_ext_abtree_lf,qsbr_df,200000,192,False,10.32%
jemalloc,100,brown_ext_abtree_lf,qsbr_df,200000,192,True,4.15%
mimalloc,100,brown_ext_abtree_lf,token4,200000,192,False,9.96%
jemalloc,100,brown_ext_abtree_lf,token4,200000,192,True,3.20%
mimalloc,100,brown_ext_abtree_lf,wfe,200000,192,False,4.91%
jemalloc,100,brown_ext_abtree_lf,wfe,200000,192,True,4.04%
mimalloc,100,brown_ext_abtree_lf,wfe_df,200000,192,False,5.44%
jemalloc,100,brown_ext_abtree_lf,wfe_df,200000,192,True,2.30%
mimalloc,100,hm_hashtable,debra,200000,192,False,15.76%
jemalloc,100,hm_hashtable,debra,200000,192,True,4.83%
mimalloc,100,hm_hashtable,debra_df,200000,192,False,10.68%
jemalloc,100,hm_hashtable,debra_df,200000,192,True,5.79%
mimalloc,100,hm_hashtable,2geibr,200000,192,False,4.50%
jemalloc,100,hm_hashtable,2geibr,200000,192,True,5.84%
mimalloc,100,hm_hashtable,2geibr_df,200000,192,False,4.75%
jemalloc,100,hm_hashtable,2geibr_df,200000,192,True,3.82%
mimalloc,100,hm_hashtable,he,200000,192,False,0.48%
jemalloc,100,hm_hashtable,he,200000,192,True,0.24%
mimalloc,100,hm_hashtable,he_df,200000,192,False,0.58%
jemalloc,100,hm_hashtable,he_df,200000,192,True,0.21%
mimalloc,100,hm_hashtable,ibr_hp,200000,192,False,0.44%
jemalloc,100,hm_hashtable,ibr_hp,200000,192,True,0.42%
mimalloc,100,hm_hashtable,ibr_hp_df,200000,192,False,0.49%
jemalloc,100,hm_hashtable,ibr_hp_df,200000,192,True,0.25%
mimalloc,100,hm_hashtable,ibr_rcu,200000,192,False,3.43%
jemalloc,100,hm_hashtable,ibr_rcu,200000,192,True,5.12%
mimalloc,100,hm_hashtable,ibr_rcu_df,200000,192,False,4.45%
jemalloc,100,hm_hashtable,ibr_rcu_df,200000,192,True,3.59%
mimalloc,100,hm_hashtable,nbr,200000,192,False,1.83%
jemalloc,100,hm_hashtable,nbr,200000,192,True,2.79%
mimalloc,100,hm_hashtable,nbr_df,200000,192,False,2.93%
jemalloc,100,hm_hashtable,nbr_df,200000,192,True,1.88%
mimalloc,100,hm_hashtable,nbrplus,200000,192,False,3.26%
jemalloc,100,hm_hashtable,nbrplus,200000,192,True,6.31%
mimalloc,100,hm_hashtable,nbrplus_df,200000,192,False,5.06%
jemalloc,100,hm_hashtable,nbrplus_df,200000,192,True,3.83%
mimalloc,100,hm_hashtable,qsbr,200000,192,False,3.63%
jemalloc,100,hm_hashtable,qsbr,200000,192,True,3.97%
mimalloc,100,hm_hashtable,qsbr_df,200000,192,False,4.58%
jemalloc,100,hm_hashtable,qsbr_df,200000,192,True,3.58%
mimalloc,100,hm_hashtable,token4,200000,192,False,8.96%
jemalloc,100,hm_hashtable,token4,200000,192,True,3.18%
mimalloc,100,hm_hashtable,wfe,200000,192,False,3.35%
jemalloc,100,hm_hashtable,wfe,200000,192,True,2.58%
mimalloc,100,hm_hashtable,wfe_df,200000,192,False,3.69%
jemalloc,100,hm_hashtable,wfe_df,200000,192,True,1.81%
mimalloc,100,hmlist,debra,2000,192,False,1.28%
jemalloc,100,hmlist,debra,2000,192,True,2.50%
mimalloc,100,hmlist,debra_df,2000,192,False,0.37%
jemalloc,100,hmlist,debra_df,2000,192,True,0.17%
mimalloc,100,hmlist,2geibr,2000,192,False,0.29%
jemalloc,100,hmlist,2geibr,2000,192,True,0.15%
mimalloc,100,hmlist,2geibr_df,2000,192,False,0.33%
jemalloc,100,hmlist,2geibr_df,2000,192,True,0.14%
mimalloc,100,hmlist,he,2000,192,False,0.04%
jemalloc,100,hmlist,he,2000,192,True,0.04%
mimalloc,100,hmlist,he_df,2000,192,False,0.04%
jemalloc,100,hmlist,he_df,2000,192,True,0.03%
mimalloc,100,hmlist,ibr_hp,2000,192,False,0%
jemalloc,100,hmlist,ibr_hp,2000,192,True,0%
mimalloc,100,hmlist,ibr_hp_df,2000,192,False,0%
jemalloc,100,hmlist,ibr_hp_df,2000,192,True,0%
mimalloc,100,hmlist,ibr_rcu,2000,192,False,0.09%
jemalloc,100,hmlist,ibr_rcu,2000,192,True,0.18%
mimalloc,100,hmlist,ibr_rcu_df,2000,192,False,0.26%
jemalloc,100,hmlist,ibr_rcu_df,2000,192,True,0.13%
mimalloc,100,hmlist,nbr,2000,192,False,0.27%
jemalloc,100,hmlist,nbr,2000,192,True,0.21%
mimalloc,100,hmlist,nbr_df,2000,192,False,0.37%
jemalloc,100,hmlist,nbr_df,2000,192,True,0.29%
mimalloc,100,hmlist,nbrplus,2000,192,False,0.27%
jemalloc,100,hmlist,nbrplus,2000,192,True,0.22%
mimalloc,100,hmlist,nbrplus_df,2000,192,False,0.42%
jemalloc,100,hmlist,nbrplus_df,2000,192,True,0.25%
mimalloc,100,hmlist,qsbr,2000,192,False,0.09%
jemalloc,100,hmlist,qsbr,2000,192,True,0.19%
mimalloc,100,hmlist,qsbr_df,2000,192,False,0.27%
jemalloc,100,hmlist,qsbr_df,2000,192,True,0.14%
mimalloc,100,hmlist,token4,2000,192,False,0.29%
jemalloc,100,hmlist,token4,2000,192,True,0.07%
mimalloc,100,hmlist,wfe,2000,192,False,0.17%
jemalloc,100,hmlist,wfe,2000,192,True,0.07%
mimalloc,100,hmlist,wfe_df,2000,192,False,0.20%
jemalloc,100,hmlist,wfe_df,2000,192,True,0.06%
snmalloc,100,guerraoui_ext_bst_ticket,debra,200000,192,False,15.11%
snmalloc,100,guerraoui_ext_bst_ticket,debra_df,200000,192,False,3.99%
snmalloc,100,guerraoui_ext_bst_ticket,2geibr,200000,192,False,2.36%
snmalloc,100,guerraoui_ext_bst_ticket,2geibr_df,200000,192,False,2.67%
snmalloc,100,guerraoui_ext_bst_ticket,he,200000,192,False,0.19%
snmalloc,100,guerraoui_ext_bst_ticket,he_df,200000,192,False,0.24%
snmalloc,100,guerraoui_ext_bst_ticket,ibr_hp,200000,192,False,0.16%
snmalloc,100,guerraoui_ext_bst_ticket,ibr_hp_df,200000,192,False,0.18%
snmalloc,100,guerraoui_ext_bst_ticket,ibr_rcu,200000,192,False,3.05%
snmalloc,100,guerraoui_ext_bst_ticket,ibr_rcu_df,200000,192,False,3.42%
snmalloc,100,guerraoui_ext_bst_ticket,nbr,200000,192,False,0.74%
snmalloc,100,guerraoui_ext_bst_ticket,nbr_df,200000,192,False,0.88%
snmalloc,100,guerraoui_ext_bst_ticket,nbrplus,200000,192,False,3.52%
snmalloc,100,guerraoui_ext_bst_ticket,nbrplus_df,200000,192,False,3.46%
snmalloc,100,guerraoui_ext_bst_ticket,qsbr,200000,192,False,2.80%
snmalloc,100,guerraoui_ext_bst_ticket,qsbr_df,200000,192,False,3.08%
snmalloc,100,guerraoui_ext_bst_ticket,token4,200000,192,False,2.95%
snmalloc,100,guerraoui_ext_bst_ticket,wfe,200000,192,False,1.51%
snmalloc,100,guerraoui_ext_bst_ticket,wfe_df,200000,192,False,1.47%
snmalloc,100,brown_ext_abtree_lf,debra,200000,192,False,13.53%
snmalloc,100,brown_ext_abtree_lf,debra_df,200000,192,False,7.72%
snmalloc,100,brown_ext_abtree_lf,2geibr,200000,192,False,5.60%
snmalloc,100,brown_ext_abtree_lf,2geibr_df,200000,192,False,6.10%
snmalloc,100,brown_ext_abtree_lf,he,200000,192,False,0.46%
snmalloc,100,brown_ext_abtree_lf,he_df,200000,192,False,0.42%
snmalloc,100,brown_ext_abtree_lf,ibr_hp,200000,192,False,0.52%
snmalloc,100,brown_ext_abtree_lf,ibr_hp_df,200000,192,False,0.51%
snmalloc,100,brown_ext_abtree_lf,ibr_rcu,200000,192,False,6.19%
snmalloc,100,brown_ext_abtree_lf,ibr_rcu_df,200000,192,False,6.84%
snmalloc,100,brown_ext_abtree_lf,nbr,200000,192,False,1.78%
snmalloc,100,brown_ext_abtree_lf,nbr_df,200000,192,False,1.97%
snmalloc,100,brown_ext_abtree_lf,nbrplus,200000,192,False,6.08%
snmalloc,100,brown_ext_abtree_lf,nbrplus_df,200000,192,False,6.94%
snmalloc,100,brown_ext_abtree_lf,qsbr,200000,192,False,6.40%
snmalloc,100,brown_ext_abtree_lf,qsbr_df,200000,192,False,6.87%
snmalloc,100,brown_ext_abtree_lf,token4,200000,192,False,7.05%
snmalloc,100,brown_ext_abtree_lf,wfe,200000,192,False,3.13%
snmalloc,100,brown_ext_abtree_lf,wfe_df,200000,192,False,3.23%
snmalloc,100,hm_hashtable,debra,200000,192,False,2.79%
snmalloc,100,hm_hashtable,debra_df,200000,192,False,1.42%
snmalloc,100,hm_hashtable,2geibr,200000,192,False,0.93%
snmalloc,100,hm_hashtable,2geibr_df,200000,192,False,0.95%
snmalloc,100,hm_hashtable,he,200000,192,False,0.07%
snmalloc,100,hm_hashtable,he_df,200000,192,False,0.08%
snmalloc,100,hm_hashtable,ibr_hp,200000,192,False,0.06%
snmalloc,100,hm_hashtable,ibr_hp_df,200000,192,False,0.05%
snmalloc,100,hm_hashtable,ibr_rcu,200000,192,False,0.97%
snmalloc,100,hm_hashtable,ibr_rcu_df,200000,192,False,0.97%
snmalloc,100,hm_hashtable,nbr,200000,192,False,0.35%
snmalloc,100,hm_hashtable,nbr_df,200000,192,False,0.45%
snmalloc,100,hm_hashtable,nbrplus,200000,192,False,1.00%
snmalloc,100,hm_hashtable,nbrplus_df,200000,192,False,0.98%
snmalloc,100,hm_hashtable,qsbr,200000,192,False,0.93%
snmalloc,100,hm_hashtable,qsbr_df,200000,192,False,0.97%
snmalloc,100,hm_hashtable,token4,200000,192,False,1.22%
snmalloc,100,hm_hashtable,wfe,200000,192,False,0.80%
snmalloc,100,hm_hashtable,wfe_df,200000,192,False,0.76%
snmalloc,100,hmlist,debra,2000,192,False,0.22%
snmalloc,100,hmlist,debra_df,2000,192,False,0.08%
snmalloc,100,hmlist,2geibr,2000,192,False,0.05%
snmalloc,100,hmlist,2geibr_df,2000,192,False,0.06%
snmalloc,100,hmlist,he,2000,192,False,0%
snmalloc,100,hmlist,he_df,2000,192,False,0%
snmalloc,100,hmlist,ibr_hp,2000,192,False,0%
snmalloc,100,hmlist,ibr_hp_df,2000,192,False,0%
snmalloc,100,hmlist,ibr_rcu,2000,192,False,0.05%
snmalloc,100,hmlist,ibr_rcu_df,2000,192,False,0.05%
snmalloc,100,hmlist,nbr,2000,192,False,0.05%
snmalloc,100,hmlist,nbr_df,2000,192,False,0.08%
snmalloc,100,hmlist,nbrplus,2000,192,False,0.06%
snmalloc,100,hmlist,nbrplus_df,2000,192,False,0.10%
snmalloc,100,hmlist,qsbr,2000,192,False,0.05%
snmalloc,100,hmlist,qsbr_df,2000,192,False,0.06%
snmalloc,100,hmlist,token4,2000,192,False,0.07%
snmalloc,100,hmlist,wfe,2000,192,False,0.04%
snmalloc,100,hmlist,wfe_df,2000,192,False,0.04%